2024-08-15 19:52:52: -- Analysis Started by User Command
2024-08-15 19:52:52: L: Reading State File D:/public_html/_gsdata_/_file_state_v4._gs
2024-08-15 19:52:52: L: Reading State File D:/public_html/files/advbook and merge it with the root state
2024-08-15 19:52:52: R: Reading State File D:/gitrepo/srsarangi.github.io/_gsdata_/_file_state_v4._gs
2024-08-15 19:52:52: R: State file does not exist: D:/gitrepo/srsarangi.github.io/_gsdata_/_file_state_v4._gs
2024-08-15 19:52:52: /os-videos.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /os-videos.html~: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /otm.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /patents.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /patents.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phd_india_us.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phd_india_us.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phd_investment.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phd_investment.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phd_true_meaning.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phd_true_meaning.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phdexam.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phdfaqs.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phdfaqs.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phdhowto.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /phdhowto.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /projects.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /projects.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /publications.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /publications.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /research.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /research.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /research_sidebar.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /short_term_course.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /short_term_course.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /sidebar.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /software.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /software.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /sric.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /sric.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /startups.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /startups.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /sub.pl: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /subpage.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /subpage.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /summer_students.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /summer_students.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /teaching.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /teaching.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /test.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /videocourses.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /videocourses.html~: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /videocourses.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /why_do_phd.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /why_do_phd.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /workshops.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /workshops.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: /worldclassphd.template.html: Warning: Older file to replace Newer file
2024-08-15 19:52:52: Changes: 776, Conflicts: 0, CopyTime: 0, FixState: 1,985, Errors: 0, All: 2769
2024-08-15 19:52:52: Left to Right: Copy File: 680 Delete File: 96 
2024-08-15 19:52:52: -- Analysis Complete. Time 00:00:00, Speed: Many files/s
