2024-08-15 19:50:05: -- Analysis Started by User Command
2024-08-15 19:50:05: L: Reading State File D:/public_html/_gsdata_/_file_state_v4._gs
2024-08-15 19:50:05: L: Reading State File D:/public_html/files/advbook and merge it with the root state
2024-08-15 19:50:05: R: Reading State File D:/gitrepo/srsarangi.github.io/_gsdata_/_file_state_v4._gs
2024-08-15 19:50:05: R: State file does not exist: D:/gitrepo/srsarangi.github.io/_gsdata_/_file_state_v4._gs
2024-08-15 19:50:05: /videocourses.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /videocourses.html~: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /videocourses.template.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /why_do_phd.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /why_do_phd.template.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /workshops.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /workshops.template.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: /worldclassphd.template.html: Warning: Older file to replace Newer file
2024-08-15 19:50:05: Changes: 803, Conflicts: 0, CopyTime: 0, FixState: 1,932, Errors: 0, All: 2743
2024-08-15 19:50:05: Left to Right: Copy File: 733 Delete File: 70 
2024-08-15 19:50:05: -- Analysis Complete. Time 00:00:00, Speed: Many files/s
